,accept,entity,label,uniq_id,previous_encoding,new_encoding,entities,abridged_xpath,descendant_order,file
0,,Boston,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>2. </date>Returned with my son <persRef ref=""adams-john2"">John</persRef> to Boston this morning in the Stage&#8212; Day at my Office; continuing the perusal of books and papers&#8212; The weather however has again become so severely cold, that I do much less than I ought.</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>2. </date>Returned with my son <persRef ref=""adams-john2"">John</persRef> to <placeName>Boston</placeName> this morning in the Stage&#8212; Day at my Office; continuing the perusal of books and papers&#8212; The weather however has again become so severely cold, that I do much less than I ought.</p> ","['Boston', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",4,JQADiaries-v27-1809-01-p383.xml
1,,Washington,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>4. </date>My Resolution to commence seriously my attention to the business upon which I am to go to Washington totally failed. All the morning I was engaged upon household concerns&#8212; It was between 12 and 1. O&#8217;Clock when I went to my Office; <persRef ref=""peck-john"">M<hi rend=""superscript"">r:</hi> Peck</persRef> soon came in and detained me untill 2. In the Evening I went with <persRef key=""smith-catherine-johnson"">Catherine</persRef> to <persRef ref=""u"">M<hi rend=""superscript"">rs:</hi> Quincy&#8217;s</persRef>, and afterwards I pass&#8217;d an hour at <persRef ref=""kirkland-john"">D<hi rend=""superscript"">r:</hi> Kirkland&#8217;s</persRef> with the Club&#8212; There was this Evening a cry of fire for a short time&#8212;</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>4. </date>My Resolution to commence seriously my attention to the business upon which I am to go to <placeName>Washington</placeName> totally failed. All the morning I was engaged upon household concerns&#8212; It was between 12 and 1. O&#8217;Clock when I went to my Office; <persRef ref=""peck-john"">M<hi rend=""superscript"">r:</hi> Peck</persRef> soon came in and detained me untill 2. In the Evening I went with <persRef key=""smith-catherine-johnson"">Catherine</persRef> to <persRef ref=""u"">M<hi rend=""superscript"">rs:</hi> Quincy&#8217;s</persRef>, and afterwards I pass&#8217;d an hour at <persRef ref=""kirkland-john"">D<hi rend=""superscript"">r:</hi> Kirkland&#8217;s</persRef> with the Club&#8212; There was this Evening a cry of fire for a short time&#8212;</p> ","['Washington', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",6,JQADiaries-v27-1809-01-p383.xml
2,,Washington,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>5. </date>Partially began upon the attention to business, which I have so long proposed&#8212; But the affairs of the family still detained me almost the whole of this morning&#8212; Afternoon and Evening, at my Office&#8212; <persRef ref=""cushing-ga"">M<hi rend=""superscript"">r:</hi> Cushin</persRef>g called on me and engaged me in a Cause to be tried in the U.S. Supreme Court at Washington&#8212;</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>5. </date>Partially began upon the attention to business, which I have so long proposed&#8212; But the affairs of the family still detained me almost the whole of this morning&#8212; Afternoon and Evening, at my Office&#8212; <persRef ref=""cushing-ga"">M<hi rend=""superscript"">r:</hi> Cushin</persRef>g called on me and engaged me in a Cause to be tried in the U.S. Supreme Court at <placeName>Washington</placeName>&#8212;</p> ","['Washington', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",7,JQADiaries-v27-1809-01-p383.xml
3,,Rhode-island,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>6. </date><persRef ref=""cushing-ga"">M<hi rend=""superscript"">r:</hi> Cushing</persRef> called on me again this Morning, and left some papers with me&#8212; I wrote for him to <persRef ref=""u"">M<hi rend=""superscript"">r:</hi> Burrell</persRef> his Counsel in Rhode-island, for other papers belonging to the Cause&#8212; At the insurance office, just before dinner&#8212; Afternoon and Evening I was reading <persRef ref=""bishop-abraham"">A. Bishop&#8217;s</persRef> pamphlets on the Georgia Speculations.</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>6. </date><persRef ref=""cushing-ga"">M<hi rend=""superscript"">r:</hi> Cushing</persRef> called on me again this Morning, and left some papers with me&#8212; I wrote for him to <persRef ref=""u"">M<hi rend=""superscript"">r:</hi> Burrell</persRef> his Counsel in <placeName>Rhode-island</placeName>, for other papers belonging to the Cause&#8212; At the insurance office, just before dinner&#8212; Afternoon and Evening I was reading <persRef ref=""bishop-abraham"">A. Bishop&#8217;s</persRef> pamphlets on the Georgia Speculations.</p> ","['Rhode-island', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",8,JQADiaries-v27-1809-01-p383.xml
4,,Hingham,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>8. </date>Heard <persRef ref=""colman-henry"">M<hi rend=""superscript"">r:</hi> Colman</persRef> of Hingham, the former part of the day&#8212; Spent the remainder of it and the Evening, altogether in researches respecting the Cause upon which I am employed&#8212; Examined <persRef ref=""raynal-guillaume"">Raynal</persRef>, <persRef ref=""pownall-thomas"">Pownall</persRef>, <persRef ref=""stokes-anthony"">Stokes</persRef>, <persRef ref=""holmes-abiel"">Holmes</persRef>, and <persRef key=""adams-john"">my father&#8217;s</persRef> book respecting the negotiations at the Peace.&#8212; <persRef key=""adams-abigail"">My Mother</persRef> is quite unwell, with a severe cough.</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>8. </date>Heard <persRef ref=""colman-henry"">M<hi rend=""superscript"">r:</hi> Colman</persRef> of <placeName>Hingham</placeName>, the former part of the day&#8212; Spent the remainder of it and the Evening, altogether in researches respecting the Cause upon which I am employed&#8212; Examined <persRef ref=""raynal-guillaume"">Raynal</persRef>, <persRef ref=""pownall-thomas"">Pownall</persRef>, <persRef ref=""stokes-anthony"">Stokes</persRef>, <persRef ref=""holmes-abiel"">Holmes</persRef>, and <persRef key=""adams-john"">my father&#8217;s</persRef> book respecting the negotiations at the Peace.&#8212; <persRef key=""adams-abigail"">My Mother</persRef> is quite unwell, with a severe cough.</p> ","['Hingham', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",10,JQADiaries-v27-1809-01-p383.xml
5,,Boston,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>9. </date>Returned to Boston this morning in the Stage&#8212; I met <persRef ref=""eustis-william"">D<hi rend=""superscript"">r:</hi> Eustis</persRef> in the Street, and appointed this Evening again to see him at my house&#8212; I accordingly was at home all the Evening expecting him but he did not come&#8212; Attended morning and Evening at my Office, but did nothing&#8212; <persRef key=""smith-catherine-johnson"">Catherine</persRef> pass&#8217;d the Evening at <persRef ref=""davis-daniel"">M<hi rend=""superscript"">r:</hi> D. Davis&#8217;s</persRef>&#8212; <persRef ref=""everett-alexander"">M<hi rend=""superscript"">r:</hi> Everett</persRef> was part of it here. My two children <persRef key=""adams-john2"">John</persRef> and <persRef key=""adams-charles2"">Charles</persRef>, are still afflicted with heavy colds and coughs.</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>9. </date>Returned to <placeName>Boston</placeName> this morning in the Stage&#8212; I met <persRef ref=""eustis-william"">D<hi rend=""superscript"">r:</hi> Eustis</persRef> in the Street, and appointed this Evening again to see him at my house&#8212; I accordingly was at home all the Evening expecting him but he did not come&#8212; Attended morning and Evening at my Office, but did nothing&#8212; <persRef key=""smith-catherine-johnson"">Catherine</persRef> pass&#8217;d the Evening at <persRef ref=""davis-daniel"">M<hi rend=""superscript"">r:</hi> D. Davis&#8217;s</persRef>&#8212; <persRef ref=""everett-alexander"">M<hi rend=""superscript"">r:</hi> Everett</persRef> was part of it here. My two children <persRef key=""adams-john2"">John</persRef> and <persRef key=""adams-charles2"">Charles</persRef>, are still afflicted with heavy colds and coughs.</p> ","['Boston', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",11,JQADiaries-v27-1809-01-p383.xml
6,,Georgia,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>10. </date>I called this afternoon upon <persRef ref=""dexter-samuel2"">M<hi rend=""superscript"">r:</hi> S. Dexter</persRef>, and again in the Evening to converse with him on the subject of the Georgia land claims; but though he has a large interest in the business, and has himself been many years an Agent for the New England Company, I found him slightly acquianted with the facts of the cause, and utterly ignorant of some among the most material. Neither could I obtain from him any ideas of his own, which I thought of much weight upon the merits of the Cause&#8212; He is indeed immersed in so much other business that he has no attention to spare for this. <pb n=""384"" type=""ms"" />He thinks it useless to make much preparation for the trial of a Cause, and shapes his management of a defence upon the ground taken by the other party. This may answer for him; but will not answer my purpose&#8212; I was well engaged the remainder of this day in the further investigation of my subject.</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>10. </date>I called this afternoon upon <persRef ref=""dexter-samuel2"">M<hi rend=""superscript"">r:</hi> S. Dexter</persRef>, and again in the Evening to converse with him on the subject of the <placeName>Georgia</placeName> land claims; but though he has a large interest in the business, and has himself been many years an Agent for the New England Company, I found him slightly acquianted with the facts of the cause, and utterly ignorant of some among the most material. Neither could I obtain from him any ideas of his own, which I thought of much weight upon the merits of the Cause&#8212; He is indeed immersed in so much other business that he has no attention to spare for this. <pb n=""384"" type=""ms"" />He thinks it useless to make much preparation for the trial of a Cause, and shapes his management of a defence upon the ground taken by the other party. This may answer for him; but will not answer my purpose&#8212; I was well engaged the remainder of this day in the further investigation of my subject.</p> ","['Georgia', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",12,JQADiaries-v27-1809-01-p383.xml
7,,the Brazen Mask,LOC,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>11. </date>I was again diverted by domestic affairs and other avocations from my proper business almost the whole of this day.&#8212; <persRef key=""adams-thomas"">My brother</persRef> was in town and called at my Office&#8212; In the Evening I went to the Play with <persRef ref=""adams-louisa-catherine;smith-catherine-johnson"">the Ladies</persRef> and <persRef ref=""everett-alexander"">M<hi rend=""superscript"">r:</hi> Everett</persRef>&#8212; The performances were &#8220;Begone dull Care,&#8221; a wretched Comedy, and the Brazen Mask; a Pantomime.</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>11. </date>I was again diverted by domestic affairs and other avocations from my proper business almost the whole of this day.&#8212; <persRef key=""adams-thomas"">My brother</persRef> was in town and called at my Office&#8212; In the Evening I went to the Play with <persRef ref=""adams-louisa-catherine;smith-catherine-johnson"">the Ladies</persRef> and <persRef ref=""everett-alexander"">M<hi rend=""superscript"">r:</hi> Everett</persRef>&#8212; The performances were &#8220;Begone dull Care,&#8221; a wretched Comedy, and <placeName>the Brazen Mask</placeName>; a Pantomime.</p> ","['the Brazen Mask', 'LOC']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",13,JQADiaries-v27-1809-01-p383.xml
8,,Session,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>13. </date>Day and Evening engaged in reading books and papers; partly respecting the Cause of Mess<hi rend=""superscript"">rs:</hi> <persRef ref=""boardman-william2"">Boardman</persRef> and <persRef ref=""pope-pascal"">Pope</persRef>. It was so cold that I could not write much&#8212; My thermometer this morning stood at 4. above 0.&#8212; I called at the Court-House and also at the Hall of the Massachusetts Bank, where the District Court is in Session.</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>13. </date>Day and Evening engaged in reading books and papers; partly respecting the Cause of Mess<hi rend=""superscript"">rs:</hi> <persRef ref=""boardman-william2"">Boardman</persRef> and <persRef ref=""pope-pascal"">Pope</persRef>. It was so cold that I could not write much&#8212; My thermometer this morning stood at 4. above 0.&#8212; I called at the Court-House and also at the Hall of the Massachusetts Bank, where the District Court is in <placeName>Session</placeName>.</p> ","['Session', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",15,JQADiaries-v27-1809-01-p383.xml
9,,Washington,GPE,,"<p xmlns=""http://www.tei-c.org/ns/1.0""><date>14. </date>Mess<hi rend=""superscript"">rs:</hi> <persRef ref=""buckminster-joseph"">Buckminster</persRef>, <persRef ref=""bussey-benjamin"">Bussey</persRef>, <persRef ref=""u"">Cobb</persRef>, <persRef ref=""davis-john"">Judge Davis</persRef>, <persRef ref=""degrand-peter"">De Grand</persRef>, <persRef ref=""foster-william2"">W. Foster</persRef>, <persRef ref=""gray-edward2"">Ed: Gray</persRef>, <persRef ref=""shaw-william"">Shaw</persRef>, <persRef ref=""sullivan-william"">W. Sullivan</persRef>, <persRef ref=""welles-arnold"">A. Welles</persRef>, and <persRef ref=""welles-john"">J. Welles</persRef> dined with <persRef key=""adams-louisa-catherine"">us</persRef>; and the attendance to this party engaged me so great a portion of this day, that I had scarcely any time left for attention to my affairs&#8212; I was however some time this forenoon at my Office, and Called on <persRef ref=""brooks-peter"">M<hi rend=""superscript"">r:</hi> Brooks</persRef> at his Insurance Office, to make some enquiries respecting the usage, relating to one of the Causes which I am to argue at Washington&#8212; All the afternoon and Evening, I was employed with my Company. Received this Evening a letter from <persRef ref=""webber-samuel"">President Webber</persRef>.</p> ","<p xmlns=""http://www.tei-c.org/ns/1.0""><date>14. </date>Mess<hi rend=""superscript"">rs:</hi> <persRef ref=""buckminster-joseph"">Buckminster</persRef>, <persRef ref=""bussey-benjamin"">Bussey</persRef>, <persRef ref=""u"">Cobb</persRef>, <persRef ref=""davis-john"">Judge Davis</persRef>, <persRef ref=""degrand-peter"">De Grand</persRef>, <persRef ref=""foster-william2"">W. Foster</persRef>, <persRef ref=""gray-edward2"">Ed: Gray</persRef>, <persRef ref=""shaw-william"">Shaw</persRef>, <persRef ref=""sullivan-william"">W. Sullivan</persRef>, <persRef ref=""welles-arnold"">A. Welles</persRef>, and <persRef ref=""welles-john"">J. Welles</persRef> dined with <persRef key=""adams-louisa-catherine"">us</persRef>; and the attendance to this party engaged me so great a portion of this day, that I had scarcely any time left for attention to my affairs&#8212; I was however some time this forenoon at my Office, and Called on <persRef ref=""brooks-peter"">M<hi rend=""superscript"">r:</hi> Brooks</persRef> at his Insurance Office, to make some enquiries respecting the usage, relating to one of the Causes which I am to argue at <placeName>Washington</placeName>&#8212; All the afternoon and Evening, I was employed with my Company. Received this Evening a letter from <persRef ref=""webber-samuel"">President Webber</persRef>.</p> ","['Washington', 'GPE']",".//ns:body//{http://www.tei-c.org/ns/1.0}div[@xml:id=""jqadiaries-v27-1809-01-xx""]/{http://www.tei-c.org/ns/1.0}div",16,JQADiaries-v27-1809-01-p383.xml
