source,target,weight
TEI,teiHeader,323
TEI,text,323
bibl,author,9116
bibl,date,9439
bibl,editor,9116
bibl,note,5693
bibl,subject,3004
body,div,323
date,hi,1298
div,<cyfunction Comment at 0x7f9b588356c0>,461
div,bibl,9439
div,div,18234
div,head,9116
div,list,1853
div,p,11479
div,pb,1006
fileDesc,publicationStmt,323
fileDesc,sourceDesc,323
fileDesc,titleStmt,323
item,hi,1456
item,persRef,5773
item,unclear,304
list,head,402
list,item,12192
p,date,9086
p,hi,12840
p,pb,2437
p,persRef,74684
p,unclear,1245
persRef,hi,29412
publicationStmt,p,323
row,cell,1403
sourceDesc,p,323
table,row,505
teiHeader,fileDesc,323
text,body,323
titleStmt,title,323
