entry,date,places,coordinates,lat,lon
jqadiaries-v49-1825-01-01,1825-01-01,H.R.U.S.,"(3.4134276999999997, 101.56854987461735)",3.4134276999999997,101.56854987461735
jqadiaries-v49-1825-01-01,1825-01-01,Bolivar,"(6.333333, -63.5)",6.333333,-63.5
jqadiaries-v49-1825-01-01,1825-01-01,South America,"(-21.0002179, -61.0006565)",-21.0002179,-61.0006565
jqadiaries-v49-1825-01-02,1825-01-02,South-America,"(-21.0002179, -61.0006565)",-21.0002179,-61.0006565
jqadiaries-v49-1825-01-02,1825-01-02,Greece,"(38.9953683, 21.9877132)",38.9953683,21.9877132
jqadiaries-v49-1825-01-03,1825-01-03,Havana,"(23.135305, -82.3589631)",23.135305,-82.3589631
jqadiaries-v49-1825-01-03,1825-01-03,France,"(46.603354, 1.8883335)",46.603354,1.8883335
jqadiaries-v49-1825-01-04,1825-01-04,Pittsburg,"(40.4416941, -79.9900861)",40.4416941,-79.9900861
jqadiaries-v49-1825-01-04,1825-01-04,Morgan,"(39.7062265, -90.190335)",39.7062265,-90.190335
jqadiaries-v49-1825-01-04,1825-01-04,New-Hampshire,"(43.4849133, -71.6553992)",43.4849133,-71.6553992
jqadiaries-v49-1825-01-05,1825-01-05,France,"(46.603354, 1.8883335)",46.603354,1.8883335
jqadiaries-v49-1825-01-05,1825-01-05,Quarles,"(38.4708521, -93.7538246)",38.4708521,-93.7538246
jqadiaries-v49-1825-01-05,1825-01-05,Kentucky,"(37.5726028, -85.1551411)",37.5726028,-85.1551411
jqadiaries-v49-1825-01-05,1825-01-05,P.U.S,"(22.3129176, 114.0429944)",22.3129176,114.0429944
jqadiaries-v49-1825-01-05,1825-01-05,Pacific,"(47.2640129, -122.2485492)",47.2640129,-122.2485492
jqadiaries-v49-1825-01-06,1825-01-06,Illinois,"(40.0796606, -89.4337288)",40.0796606,-89.4337288
jqadiaries-v49-1825-01-06,1825-01-06,Paris,"(48.8566969, 2.3514616)",48.8566969,2.3514616
jqadiaries-v49-1825-01-06,1825-01-06,Baltimore,"(39.2908816, -76.610759)",39.2908816,-76.610759
jqadiaries-v49-1825-01-06,1825-01-06,Loudoun,"(52.44573805, 0.7546295810335297)",52.44573805,0.7546295810335297
jqadiaries-v49-1825-01-06,1825-01-06,South Sea,"(34.1347188, 128.0619728)",34.1347188,128.0619728
jqadiaries-v49-1825-01-06,1825-01-06,New-York,"(40.7127281, -74.0060152)",40.7127281,-74.0060152
jqadiaries-v49-1825-01-07,1825-01-07,Pennsylvania,"(40.9699889, -77.7278831)",40.9699889,-77.7278831
jqadiaries-v49-1825-01-07,1825-01-07,South-America,"(-21.0002179, -61.0006565)",-21.0002179,-61.0006565
jqadiaries-v49-1825-01-07,1825-01-07,New-Jersey,"(40.0757384, -74.4041622)",40.0757384,-74.4041622
jqadiaries-v49-1825-01-08,1825-01-08,Ohio,"(40.2253569, -82.6881395)",40.2253569,-82.6881395
jqadiaries-v49-1825-01-08,1825-01-08,New Hampshire,"(43.4849133, -71.6553992)",43.4849133,-71.6553992
jqadiaries-v49-1825-01-08,1825-01-08,Massachusetts,"(42.3788774, -72.032366)",42.3788774,-72.032366
jqadiaries-v49-1825-01-08,1825-01-08,Norfolk,"(52.666667, 1.0)",52.666667,1.0
jqadiaries-v49-1825-01-08,1825-01-08,Virginia,"(37.1232245, -78.4927721)",37.1232245,-78.4927721
jqadiaries-v49-1825-01-08,1825-01-08,Rhode-Island,"(41.7962409, -71.5992372)",41.7962409,-71.5992372
jqadiaries-v49-1825-01-08,1825-01-08,Newport,"(41.4899827, -71.3137707)",41.4899827,-71.3137707
jqadiaries-v49-1825-01-08,1825-01-08,New-Jersey,"(40.0757384, -74.4041622)",40.0757384,-74.4041622
jqadiaries-v49-1825-01-08,1825-01-08,Pennsylvania,"(40.9699889, -77.7278831)",40.9699889,-77.7278831
jqadiaries-v49-1825-01-08,1825-01-08,Baltimore,"(39.2908816, -76.610759)",39.2908816,-76.610759
jqadiaries-v49-1825-01-08,1825-01-08,Pennsylvania,"(40.9699889, -77.7278831)",40.9699889,-77.7278831
jqadiaries-v49-1825-01-08,1825-01-08,Tennessee,"(35.7730076, -86.2820081)",35.7730076,-86.2820081
jqadiaries-v49-1825-01-08,1825-01-08,Massachusetts,"(42.3788774, -72.032366)",42.3788774,-72.032366
jqadiaries-v49-1825-01-09,1825-01-09,Tallmadge,"(41.1014616, -81.4417989)",41.1014616,-81.4417989
jqadiaries-v49-1825-01-09,1825-01-09,Rockville,"(39.0817985, -77.1516844)",39.0817985,-77.1516844
jqadiaries-v49-1825-01-10,1825-01-10,New-York,"(40.7127281, -74.0060152)",40.7127281,-74.0060152
