year,subjects,count,total,percentage
1789,Health and Illness,1,18,6.0
1789,Recreation,16,18,89.0
1789,Slave Trade,1,18,6.0
1790,Recreation,10,10,100.0
1791,Bank of the United States,2,20,10.0
1791,Health and Illness,4,20,20.0
1791,Recreation,14,20,70.0
1792,Health and Illness,8,32,25.0
1792,Recreation,24,32,75.0
1793,French Revolution>,1,15,7.000000000000001
1793,Haitian Revolution (1791-1804),1,15,7.000000000000001
1793,Native Americans,1,15,7.000000000000001
1793,Recreation,12,15,80.0
1794,African Americans,2,83,2.0
1794,Barbary Wars/Barbary Pirates,1,83,1.0
1794,French Revolution>,3,83,4.0
1794,Health and Illness,1,83,1.0
1794,Jay Treaty (Anglo-American Commercial Treaty of 1795),2,83,2.0
1794,Native Americans,1,83,1.0
1794,Recreation,48,83,57.99999999999999
1794,Travel and Touring (international),25,83,30.0
1795,American Revolution,2,219,1.0
1795,Federalist Party,1,219,0.0
1795,French Revolution>,9,219,4.0
1795,Health and Illness,4,219,2.0
1795,Jay Treaty (Anglo-American Commercial Treaty of 1795),9,219,4.0
1795,Native Americans,2,219,1.0
1795,Pinckney's Treaty (1795),1,219,0.0
1795,Recreation,187,219,85.0
1795,Slavery,1,219,0.0
1795,Women's Rights,3,219,1.0
1796,American Revolution,1,269,0.0
1796,Barbary Wars/Barbary Pirates,1,269,0.0
1796,Courtship and Marriage of JQA and LCA,15,269,6.0
1796,Dueling,1,269,0.0
1796,French Revolution>,2,269,1.0
1796,Health and Illness,5,269,2.0
1796,Jay Treaty (Anglo-American Commercial Treaty of 1795),2,269,1.0
1796,Recreation,241,269,90.0
1796,Travel and Touring (international),1,269,0.0
1797,Adams Family Residences,4,236,2.0
1797,American Revolution,1,236,0.0
1797,Commerce,2,236,1.0
1797,Court Life and Society (European),13,236,6.0
1797,Courtship and Marriage of JQA and LCA,7,236,3.0
1797,Diplomacy/Diplomatic Activities,5,236,2.0
1797,Elections,1,236,0.0
1797,French Revolution>,1,236,0.0
1797,Health and Illness,15,236,6.0
1797,Industrialization,1,236,0.0
1797,Presidential (1796),1,236,0.0
1797,Recreation,173,236,73.0
1797,Religion,1,236,0.0
1797,Steam Power,1,236,0.0
1797,Travel and Touring (international),9,236,4.0
1797,Westward Exploration and Expansion/Westward Migration/Manifest Destiny,1,236,0.0
1798,Adams Family Residences,3,274,1.0
1798,Commerce,1,274,0.0
1798,Court Life and Society (European),47,274,17.0
1798,Diplomacy/Diplomatic Activities,11,274,4.0
1798,Foreign Relations,8,274,3.0
1798,Health and Illness,26,274,9.0
1798,Quasi War (Franco-American),3,274,1.0
1798,Recreation,173,274,63.0
1798,Travel and Touring (international),1,274,0.0
1798,XYZ Affair (1797),1,274,0.0
1799,American Revolution,1,264,0.0
1799,Court Life and Society (European),32,264,12.0
1799,Diplomacy/Diplomatic Activities,22,264,8.0
1799,Health and Illness,18,264,7.000000000000001
1799,Recreation,163,264,62.0
1799,Religion,2,264,1.0
1799,Travel and Touring (international),26,264,10.0
1800,Adams Family Residences,1,216,0.0
1800,American Revolution,1,216,0.0
