file,date,places,coordinates,lat,lon
CMS1819-03-08-toRobertSedgwickIF (1).xml,1819-03-08,Albany,"(41.000028, 19.9999619)",41.000028,19.9999619
CMS1819-03-08-toRobertSedgwickIF (1).xml,1819-03-08,Northampton,"(52.23433665, -0.9028072768185829)",52.23433665,-0.9028072768185829
CMS1819-03-08-toRobertSedgwickIF (1).xml,1819-03-08,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
CMS1816-03-25-toFrancesSedgwickWatsonF.xml,1816-03-25,Providence,"(41.8239891, -71.4128343)",41.8239891,-71.4128343
CMS1813-08-15-toRobertSedgwickIF.xml,1813-08-15,Christendom,"(52.2596702, -7.098505554352519)",52.2596702,-7.098505554352519
CMS1813-08-15-toRobertSedgwickIF.xml,1813-08-15,Miss M,"(30.429168, -88.970253)",30.429168,-88.970253
CMS1809-12-11-toFrancesSedgwickWatsonF.xml,1809-12-11,Bethlem,"(-34.6203, -58.3719887)",-34.6203,-58.3719887
CMS1809-12-11-toFrancesSedgwickWatsonF.xml,1809-12-11,Albany,"(41.000028, 19.9999619)",41.000028,19.9999619
CMS1809-12-11-toFrancesSedgwickWatsonF.xml,1809-12-11,Catharine,"(42.312852, -76.7846764)",42.312852,-76.7846764
CMS1818-11-04-toRobertSedgwickIF.xml,1818-11-04,Morocco,"(31.1728205, -7.3362482)",31.1728205,-7.3362482
CMS1818-11-04-toRobertSedgwickIF.xml,1818-11-04,Albany,"(41.000028, 19.9999619)",41.000028,19.9999619
CMS1817-11-30-toJaneMinotSedgwickF.xml,1817-11-30,earth,"(34.2331373, -102.4107493)",34.2331373,-102.4107493
CMS1817-04-17-toJaneMinotSedgwickF.xml,1817-04-17,New York,"(40.7127281, -74.0060152)",40.7127281,-74.0060152
CMS1812-05-31-toFrancesSedgwickWatsonF.xml,1812-05-31,NY,"(43.1561681, -75.8449946)",43.1561681,-75.8449946
CMS1812-05-31-toFrancesSedgwickWatsonF.xml,1812-05-31,india,"(22.3511148, 78.6677428)",22.3511148,78.6677428
CMS1812-05-31-toFrancesSedgwickWatsonF.xml,1812-05-31,Secratary,"(7.0901168000000006, 80.00547093371978)",7.0901168000000006,80.00547093371978
CMS1809-02-05-toTheodoreSedgwickIFd (1).xml,1809-02-05,Washington,"(38.8950368, -77.0365427)",38.8950368,-77.0365427
CMS1819-02-09-toRobertSedgwickIF.xml,1819-02-09,Alps,"(45.9081401, 9.141582381412086)",45.9081401,9.141582381412086
CMS1819-02-09-toRobertSedgwickIF.xml,1819-02-09,Albany,"(41.000028, 19.9999619)",41.000028,19.9999619
CMS1819-02-09-toRobertSedgwickIF.xml,1819-02-09,Village Circle,"(41.755513, -71.426972)",41.755513,-71.426972
CMS1819-02-09-toRobertSedgwickIF.xml,1819-02-09,the State of N York,"(40.7645137, -73.9958411)",40.7645137,-73.9958411
CMS1812-03-01-toTheodoreSedgwickIF.xml,1812-03-01,Lisbon,"(38.7077507, -9.1365919)",38.7077507,-9.1365919
