file,date,source,target,subjects,references,text,sentiment
CMS1819-03-08-toRobertSedgwickIF (1).xml,1819-03-08,Catharine Maria Sedgwick,sedgwick-robert,,"sedgwick-charles,sedgwick-elizabeth,sedgwick-henry,sedgwick-jane,sedgwick-theodore2,woolsey-unknown,unknown-edward,U,dwight-henry,warner-thomas,payne-eloise,james-unknown,osborne-john,caldwell-charlotte,brush-unknown,sedgwick-susan,symmes-susannah","Albany March 8' 1819 -- I came here my dear Robert last Monday, and find it no small item in my pleasures that I am nearer to you -- -- Your letter reached me on Friday Thursday Morning before Charles’ departure, and contained enough to make him go rejoicing st on his way, from the delightful proof that the way he had chosen is approved by you my dear Robert -- He is at the height of happiness -- with enough of certainty to make him independent of hope and yet all his future brightened with her with her glad gay coloring -- Care will come with its corrosion and disappointment with its blight, for they come to all. But Charles has an exhaustless source of contentment in his own bosom -- We have a right to expect that the blessing of his God, and the God of his Fathers will follow him -- -- If he has not what the world can give, he has what it cannot give or take away -- -- He left us Thursday Morning and proceeded to Northampton on Friday. I presume he will return to S tomorrow -- -- Eliz’ seems fully aware of the distinction which Charles' preference confers upon her -- -- Love true Love seems to me to be a notable Teacher of Humility -- -- Eliz’ poor Child seems to think her fate deserves the ‘all Hail’, but she wears her honors with all the graces of humble-mindedness -- I long to hear from you, now that you know the matter is settled, and from Harry and Jane -- Charles is exceedingly anxious to know how Harry is affected towards it -- -- -- He has had great fear of both Harry & Theodore -- -- He said he would take ‘the steps’ with Theodore if he looked dark upon him because it was folly for a Man to profess to be a Beleiver, and exercise no faith -- Harry is such a Heretic that I don’t know what he will do with him -- However I trust that Jeanie’s sentiment and his own most kind and excellent feelings will triumph over his worldly-mindedness -- I want very much to hear Jane talk about it -- Eliz’ has intended visiting N-York in the Spring -- To pay a visit to her friend Miss Woolsey -- -- Now she has Connections there, more interesting to her, her desire to go will-not probably be diminished -- By the way, since I came here, I have heard that it has been positively asserted by some knowing Gossips who know all about everything that you are engaged to Miss Woolsey!! I can’t imagine what Edward meant. My letter last letter, was such as his last to me authorized, half raillery, & half-serious -- He perhaps may have shown it to F and thus committed himself -- Henry said that the talk of Mr C’ -- attentions to Miss D. had quite subsided before he left Boston -- -- I thought it very probable the affair had issued unfortunately for E -- and I must think the young Lady stands very much in her own light -- -- Jane thinks Edward has no heart -- I do not think so -- It may not have been much in exercise, for their domestic relations have not been hallowed by the cultivation of their affections -- I believe the root of the matter is in him and it will finally produce its fruit provided it is not chilled by the solitude of a Bachelor’s life -- Thomas Warner is here -- and I beleive seriously anxious to close his concerns in the usual way -- but poor Eloise is quite sick, with a violent cold, which has attacked her lung -- Doctor James -- sayes she is doing well and will probably be out again in a few days -- -- T’s plan as I hear is to take a farm in the vicinity of your City -- Were there ever two persons less qualified for the vulgar concerns of rural economy? Eloise says she is to be the ‘Maiden all forlorn’ and ‘milk the cow with a crumpled horn’ -- -- We are daily hoping to hear the fate of Doctor Osborne -- Poor Charlotte Caldwell has fallen a victim to the Consumption She died Saturday night -- -- We are told that after suffering the most horrible conflict -- she became resigned and happy -- -- The transition from her gay and trifling life to the sublime realities of Death and the Judgment to come has is appalling -- -- and nothing but the strength that is perfected in weakness, could sustain the soul -- -- I have been delightfully interrupted by your letter by Dr James -- You feel just as I thought you would -- -- and I am delighted perfectly delighted that Harry and Jane join in the warm and full expression of felicitation -- Charles will now be perfectly satisfied -- He loves all his family so much that he could not have been happy if they were not -- -- Charles will write Mrs Brush -- It will be the best way of breaking the fall I find she anticipates it from her last letter to me -- and speaks of it in a manner that does credit to her understanding, & great honor to her heart -- Susan, Mrs Symmes and all send Love -- Mine to all -- Beleive me dearest Brother Ever yoursCMS -- Will not Sue Jeanie and Eliz’ make a superb triumvirate? If you do not fill it up a partie quarrée , in a way to do you honor, I shall share the destiny of Sir S Romilly -- -- I cannot find out that there is any decision about the Sugar or Coffee I have asked Susan -- but she says her Husband has not decided ",0.18117985917036544
CMS1816-03-25-toFrancesSedgwickWatsonF.xml,1816-03-25,Catharine Maria Sedgwick,FSW,,"RSI,banyer-maria,jay-sarah,van vechten-jacob,symmes-susannah,SRS,TSII,EWI","Albany March 25th 1816 I have just heard of an opportunity to NYork tomorrow, and I cannot forbear writing a few lines to you, dear Sister, tho’ I am so benumbed with a violent cold in my head, that I can scarcely construct a sentence intelligibly -- -- No cold dear Frances can ever check the warm impulses of my heart towards you -- -- Your last letter inflicted a sad disappointment -- written expressly to come by Robert, it came without any explanation why he didnot bring it; & tho we have had no expectation of seeing Robert here, yet the possibility of such an occurrence awakend thoughts, that could not be spoken into peace -- -- -- Still as we hear nothing we hope to see him, and talk it over and over, as if words multiplied the chances of such a blessed event -- -- To all you say of this beloved Brother, my most cordial amen is added -- -- Let us unite our prayers that he may be blessed in every way, that shall tend to perfect his eternal felicity -- -- -- I look forward to a very happy summer at S -- Have we not always been happy there? -- I esteem it the greatest privilege of my life, that I have been enabled in some humble measure to fill the place of our departed friends, by contributing my efforts to more preserve the attractions and enjoyments of that home -- And now dear Frances more than ever I discern the wisdom and goodness of Providence, in so ordering my life that I shall have it in my power to add to the quiet & happiness of yours -- -- The great disadvantage and the only reproach of a single life, is that we poor Spinsters are generally condemned to uselessness and Satan availing himself of his prerogative finds “mischief still, for idle hands to do” -- -- It has always, and I pray it may ever be my happy destiny to have employment enough to keep me out of danger of falling into the folly of repining, or the meanness of envying -- -- -- I hope my dear Frances you will come up the first of May -- -- I shall be ready to return to S at that time -- Let me hear from you soon -- -- Did you ever feel as if your head contained all the waters of the mighty deep -- for if you have you may pity me -- -- Mrs Banyer has been passing the Evening with us -- She left a kind remembrance for you -- -- I fear very much that she will leave this City as a residence -- She has decided to give up her house, and as none can be obtained that will suit her, and all the influence of her friends thrown in the scale of convenience will probably determine her to remain at NYork -- We are all impatient to see Sally, and I am sure she cannot benefit all her friends lumped together in NYork, so much as she will her Sister here, setting aside her other friends, who will greet her with wreaths of smiles -- -- -- We had Van Vecten to preach for us yesterday -- I hear he is on his way to be married -- -- -- We have some commissions to trouble you with -- Mrs Symmes has had a good deal of delicacy in troubling you, but I know dear Sister you will always take a pleasure in obliging this excellent woman -- Then to proceed -- She wishes you to get her 7 yds & 1/2 of Florence black silk, which we hear is 8/ and a yard with your -- Susan wants three pair of good cotton stockings white -- and one pair of lead-colored silk -- not to exceed 20/. 1 pair of white kid gloves, & 1 pair of dark for Susan --1 pair of dark for Mrs S. and 1 pair for me -- any color but purple -- -- I wish you to get me 6 yards of black & white, very dark striped or plaid gingham for a common gown -- provided you can get it cheap -- Mrs Symmes wants 6 yards of any pretty gingham for a present to a little servant girl -- There, dear Sister I hope your patience is not exhausted -- We should have enclosed the money, but we are not quite sure of it arriving safely -- therefore Brother R will please to furnish and charge all excepting mine to T Sedgwick Esq -- They keep every thing up at the old prices -- Remember me affectionately to your Husband and the Children -- Theodore Susan & Mrs Symmes love -- Adieu dear Sister Yours as everCMS To the above articles dear Sister you may add 2 yds of linen cambric to ruffle Theodore's shirts -- -- -- -- -- Do not get the table-cloths I wrote to you for -- -- -- -- -- -- ",0.1795111832611832
CMS1813-08-15-toRobertSedgwickIF.xml,1813-08-15,Catharine Maria Sedgwick,RSI,,"FSW,U,payne-eloise,warner-thomas,warner-frances,phillips-abigail,CSI,mason-unknown,RSW,FPW,ESP,SRS,EWI,U"," Stockbridge August 15th 1813 I recollect very well my dear Robert that by some confessions of incapacity &c &c I once incurred from you the imputation of affectation -- Taught by that lesson I scarcely dare tell you on this occasion: the Truth the truth nevertheless is, that my vanity was puffed up with vain-glory -- and my heart dilated with real joy by the importance you have given to my letters -- I am satisfied that their importance should be, as it is, the free-gift of your partial affection -- I have felt that in this retirement I had power to gild some of your hours; but never ‘till now did I know dearest Robert that my ‘little beam’ would be noticed in your ‘summer blaze of joy' that the humble offering of a Sister’s heart would be remembered and prized in a region of fashion, of elegance, and of gaiety -- Now that I do know it I set a new value on faculties whose exercise is thus rewarded -- I am satisfied by long and delightful experience that I can never love any body better than my Brothers -- I have no expectation of ever finding their equal in worth and attraction; therefore -- do not be alarmed, I am not on the verge of a vow of celibacy, nor have I the slightest intention of adding any rash resolutions, to the Ghosts of Those, that have been frightened to death by the terrors of maiden-life but therefore I shall never change my condition; until I change my mind -- You will acknowledge dear Robert that notwithstanding the proverbial mutability of a woman’s inclination, the probability is in favor of my continuing to stamp all the coin of my kindness with a Sister’s impress, particularly when you consider that every year depreciates the coin, in the market of matrimony -- -- By the way dear Bob do you know that Frances is suspicious that your regard for our sweet friend Kate, is fast taking the matrimonial hue. I think you cannot have made any definitive determination, in relation to her -- If you had, I should have known it; should I not? I judge you by myself, for I shall never launch my barke, ‘till you lay your blessing on it -- I have been disappointed and grieved, to find my favorite and dearest friend’s character marred by vanity that has not hesitated to sacrifice integrity to its paltry gratification -- I may say, as our great Ames said “I thought she was on an elevation that no such mist would reach” -- “How is the gold become dim, and the most fine gold changed” when we consent to leave the straight onward path of virtue, for the crooked and darkened way of human folly; When we refuse to walk in the clear light of heavenly wisdom, and follow the devices of our own hearts -- I do not mean to treat E’s conduct as seriously as I may seem to. I confess that I was at first indignant that she should appropriate to herself a conquest over the noblest heart in Christendom, and sorrowful that she should violate the principles of friendship, as she did by somethings she said in relation to myself -- We neither of us, I am certain dear Robert harbor a thought or a feeling of resentment, tho’ our admiration must be abated, and our confidence limited -- -- I have most heartily rejoiced in the dawn of her happier prospects, and I have, and still do most fervently pray that she may realize the most flattering visions of hope -- -- -- Thomas W & his Sister passed a day & night with us last week -- She is a promising, tho’ I think not at present, a very interesting girl -- He was in fine spirits, and I thought much improved by a trifling abatement of his metaphysical propensities -- -- He didnot mention E’s name to me! Deterred from it I suppose by what we Yankeys call a sheepish feeling, and the french more elegantly denominate by the term mauvaise honte -- -- -- -- Miss Phillips is on a western tour, & I have strong hopes, that she will take our turnpike on her return -- -- Wednesday Augt 18th I have been twice obliged to lay aside my letter since I began it, -- Charles received your letter last evening -- On the subject of Miss M, I can only say, that I should very much like an intimate acquaintance with her, but I fear our house will be too full while you are here, to give me the right to ask any one -- Still If you think she would cheerfully submit to the inconveniences that attend crowded bedrooms, and has any inclination to come, you know I shall do all I can to make a visit pleasant to her -- -- . Frances has not been very well since she has been here -- Our Host of Children are well, and not less noisy than usual -- Robert is a charming interesting boy, and as we all agree, your image -- Little Frances has very much improved in good temper since the spring -- Did your ears burn last night dear Bob? We were all at Eliza’s and you was our topic. Your heart would have warmed if you had heard us -- -- -- Susan wishes you to purchase for her a ball of Smiths chymical soap at 4/--. If Mr W has returned my best love to him. Verify your promise dear Robert and be with us soon -- My dear Brother, I am so circumscribed that even inspiration from the Genius of this place cannot on this occasion breathe through me -- Of necessity therefore my business must engross me. Will you ask Marianne & will you give her money to get six quarts of blackberries -- out of which she must boil all the juice clear and when she has strained it -- add one pound of powder Sugar to each pint of juice -- and boil it to a jelly -- this is so very useful that I wish it not to be neglected -- If the blackberries are gone Marianne must send by you some sugar to me. The juice of the blackberries must be obtained by putting the fruit into a stone pot, covering it tight, and keeping it a kettle of kettle of boiling water ‘till the juice will run off from the fruit Yours tenderlyC M Sedgwick -- ",0.25375153562653563
CMS1809-12-11-toFrancesSedgwickWatsonF.xml,1809-12-11,Catharine Maria Sedgwick,FSW,"Sedgwick Family Relations,Death/Mourning,Religion,Transportation,Village/Rural Life,Leisure Activities,Children/Childhood,Education,Domestic Animals,Domestic Life and Duties,Motherhood,Illness,Socia Life/Networks","EHW,RSI,ashley-richard,U,curtis-unknown,U,TSI,U,U,HDS,CSI,SRS,freeman-elizabeth,west-stephen,EWI,CSWW,TSW,unknown-cato,RSW"," Stockbridge Decr 11th1809 I cannot account for your long silence my dear Frances except by recurring to your domestic avocations it is at least 5 weeks since I have received a line from you, even Eben wonders why Mama donot write to Aunt Catharine. We received Robert’s letter Yesterday acquainting us with our unhappy friend’s death. Richard Ashley was here this morning, his face was impressed with the wretchedness that this distressful event must cause him, he expressed his gratitude to Robert with a great deal of feeling -- I do not know the effect of this news on Mrs C. I beleive her heart (if she has any) is made of materials that repel the impressions of the most uncommon calamities – Curtis is I beleive a man of upright intentions, but he must I am sure suffer acutely from the fearful intimation of his conscience, that he may have persecuted this poor Exile -- Thankful is too obdurate in guilt to admit of any hope I cannot think this tragedy is yet finished, yet I think we must await her dissolution for the development of the mystery -- -- -- -- -- We have looked & listened for Papa in vain, for a week past. The roads are intolerably bad -- You whose eyes are accustomed only the the variety of round stones, and flags, can hardly conceive of the depths of the mud one day, & the elevation of the hubs the next. ILL This is the first day that the smiles of the sun have greeted us for a week -- I am sure Jacques promise of no enemies but “winter and rough weather,” would never have tempted me to a Country life -- However I must do it the justice to say that I have never passed three months more peacefully & happily than the last -- Our fireside, if not brilliant, has been uniformly animated with good humor -- Laura has quietly pursued the devious windings of her needle, Mary (who is emphatically “meek nature’s child”) & I I have alternately sewed and read, 'till Harry has joined us to enrich us with his rich flow of intellect -- You know our dear Charles has gone to Bethlem his situation is a very advantageous one. This consideration alone could reconcile us, to the deprivation of his delightful society -- -- -- I presume you have heard from Susan since we have -- -- I found her recovered astonishingly & Mumbet said she was stronger the day we left Albany than you were atin the same time -- She had not perfectly recovered her recollection, indeed she seemed to have a very confused notion of every thing that had happened before her illness -- I dread the effect of her disappointment, and the want of occupation on her mind, when her sensibility is more perfectly restored -- Few persons have promised themselves so much from maternal endearment as our dear sister. Her mind Eben has made very good progress at school -- In his reading he has improved -ingly -- He is fond of his Master, & if it were for his fear of the Canine species there would be no obstruction to his ardor in his scholastic pursuits. But SkipWhiton, PrincePomeroy, & Lion Seymour bark him almost into a distaste of Literature -- -- -- Our good old Pastor has so far overcome his infirmities as to preach to us twice -- He enquires tenderly after you & Mr Watson whenever I see him -- -- -- -- My love to both my Brothers -- Tell little Kate that her friends in the Neighborhood have not forgotten her -- In a party the other night, all our amusement was a repetition of Catharine’s witty sallies -- This is literally true. Tell Theodore that Cato has made him a bow & arrow, that will do honor even to as expert an archer as himself -- -- You cannot I suppose communicate any message of kindness to dear little Robert, except by impressing his infant lips with a kiss – Adieu my beloved Sister may Heaven’s best blessings attend you Your most aff'ly C M S ",0.16406060606060607
CMS1818-11-04-toRobertSedgwickIF.xml,1818-11-04,Catharine Maria Sedgwick,sedgwick-robert,,"sedgwick-susan,pomeroy-eliza,sedgwick-jane,sedgwick-george,sedgwick-henry,marechal-unknown,galpin-unknown,watson-frances,watson-robert,sedgwick-john","Stockbridge Nov 4 Wed Tuesday Morn'g --My dear Robert -- at the Moment of departure for Conn’t I leave a farewell line for you, that in case I ‘look not on your face again’ you may have my acknowledgement in black & white, that your reproof is perfectly just -- That I am haunted by the Demons that destroyed poor Vivian is too true, or rather, for I do not think it is fair to put off upon Demons that which is our own sin, I suffer from the weakness of indulged irresolution -- I am not so foolish, but I may have reason in my folly -- -- Susan’s wishes deserve my utmost consideration. Nobody loves me better than she does -- and there is no one to whose happiness I can contribute more -- -- I think she will be better satisfied with the final certain result of that, in which her heart has been so much concerned, if she thinks I havenot turned my back upon it without an effort -- -- I wish extremely to go to NYork -- more than tongue & certainly more than pen can tell -- I am gratified my dear Robert with the interest you have evinced in my decision, & sorry indeed am I, that I am depressed in your opinion -- But experience must correct false notions, and I have not deserved the elevation I have had in your estimation _____ I look forward with a sure expectation to that time when He, who hath given me such a Brother, shall rectify my character, and make me worthy of that affection, that has been one of the greatest blessings of my life -- -- Eliza returned charmed with her visit to you all, loving you all as well as ever, and loving our dear sister Jenny better -- as to the little Boy, he is in her opinion a Nonpareil -- -- Tell Jane I shall write to her very soon, for I consider her letter as the fruit of a great effort -- -- -- I should like to know in what state the honey reached NYork -- -- I hope Harry will not regret the purchase -- -- -- I wish my dear Robert that you will be so good as to carry the shoe I send to Mr Marechal and request him to make me a pair of seal skin walking shoes -- double- soles & heels -- of seal-skin -- if he has any good, if not of Morocco -- Mr Galpin who is a very civil little Gentleman will take care of them with pleasure -- -- He returns in a few days -- Frances and little Bob have started today for Albany -- We have heard that our good old Uncle has as is believed a cancer on his nose -- I shall probably stay with him two days -- I hope on my return to be greeted by a letter from you -- My love to all -- God bless thee dear Robert -- and beleive me ever thineCMS -- --",0.2888646922183507
CMS1817-11-30-toJaneMinotSedgwickF.xml,1817-11-30,Catharine Maria Sedgwick,JMS,,"HDS,CSI,FSW,TSP,banyer-maria","Stockbridge Nov 30th 1817 -- Sometimes my dear Jane it comes over me with all the energy and charm of a new thought that you are my Sister -- my Heart leaps for joy, and I neither do, can, or will, restrain the ejaculatory Thanksgiving -- Yes, you are my Sister, & the tie that unites is as immortal as the Spirits it joins -- I would not have Harry think that we claim to be such pure essences as not to be very much obliged to him, for giving to this spiritual union, a local habitation and a name , but no act of his can now weaken it, for whatever God hath joined together man cannot put asunder -- -- -- -- I learnt to my utter consternation last evening, that Charles waited for me two days -- -- He didnot receive my letter informing him of my decision -- When I got his letter informing him me that he should nevertheless go, I remarked to Frances that it was the first instance in which I had ever known Charles prefer a certain benefit to himself to a possible good to another person -- I commended his wisdom, and am extremely sorry now that I have cause to recall my commendation -- You perceive (or I have wasted words) that it is not my fault that Charles was not with you sooner, and do not let it be your fault that he does not stay as long as wind and weather permit -- I have gone the rounds of the sacred literature of our Library today, and have devised various pious modes of occupying my mind and time, but all in vain -- My thoughts have been with you, and I have seen the kind greetings, and heard the animate of voices, of a good proportion of those I love best on earth -- Have I written thus far without acknowledging your kind cheering letter? Frances and I read it with exclamations that might have gratified a more ambitious spirit than yours dear Jane, and warmed a less affectionate heart. I hope you will make the most of Charles -- I wish dear Jenny you had a twin Sister for him, but unless there should be a special interposition on his account I see no chance for him -- It never will be by the intervention of any request of his that he obtain a help-meat -- -- -- -- I expect that Charles will return with a fund of entertaining talk for the winter -- I wish you would give him a hint of this anticipation, for he is near of him to your Husband in improvidence for all those wants that spring from idle curiosity, and genuine feminine taste for minute detail. Wednesday Morn’g I left my letter on Sunday Eve’g dear Jane, because I was under the necessity of writing to Charles, and I didnot think it at justifiable to encrease the family tax of Postage when one letter would contain that which is the end of writing all letters, all needed information of ourselves and our Concerns -- Tomorrow is our Thanksgiving and we are just now engaged in preparations for it -- My hands are of course employed in the service of the State -- If my brains or my heart could carry on their operations independent of these humble agents -- their energies dear Jenny should be devoted to you -- ‘But while this muddy vesture of decay doth grossly close us in’ the body takes revenge for all the hard service the Spirit puts it to, by bring confining that divine essence to the base mechanism of mince pies and Pumpkin puddings -- -- -- -- Oh dear Sister did I possess but one of all those talismen that were the wonder and the desire of my childhood how soon would I bring you and my brothers around our Thanksgiving table -- -- But how broken is the Circle that once enclosed every subject for family Thanksgiving! -- If Charles is still with you, tell him Theodore has received his letter, and proceeds to the business this Evening -- My best love to all my Brothers God bless thee dearest Jane Yours trulyC M S -- My love to Mrs B -- -- ",0.18330480125934667
CMS1817-04-17-toJaneMinotSedgwickF.xml,1817-04-17,Catharine Maria Sedgwick,JMS,,"HDS,CSI,HDS; RSI,RSI,TSII,minot-louisa","New York April 17th 1817 Here I am my dear Jane in the very centre of the fashionable, the gay, the beautiful and the beloved -- Oh that you was here too! I have this moment parted from Hal, who was called away from a secreting tête-a-tête, in which we were deciding some high behests, as important at least to his perception as the destinies of Nations -- You my dear Sister are the sum-total of all his thoughts, pardon my vulgarity but you know in this commercial City, the language of the shop, is the language of society -- I arrived here with Charles on Sunday Morn’g -- We found our two Brothers unchanged in all respects -- As you see at least one through the same medium that I do dear Jane, I may say to you that this is the state in which I desire always to find them, ‘till their mortal puts on immortal' . Harry is not in as delicate health as I expected -- Love has spared his damask cheek, and only reduces it within a measurable and expressive circumference -- -- We all went to Harlaem yesterday, to attend an Auction; and what do you think were Hal’s purchases? Decanters, Knives, and forks, and a chimney-mirror, The two first purchases were perfectly characteristic, the last remains to be explained by some greater Philosopher then I am -- -- -- I should have conjectured that Harry would have furnished a whole home with Books, Decanters, and knives and forks, and would have defended the congruity of the assortment, as you know he thinks the ‘sparkling bowl’ ministers to the soul as much as that old wine-bibber Homer did, and the other article was necessary to discuss the ‘raw-material of ideas’ as Robert calls that feast for reason -- Roast-beef -- -- -- Harry has been talking to me this morning about your plans for the future -- It would I think be impossible to obtain a house here now. By impossible I mean that you could not do it, without paying exorbitantly for small accommodations -- -- I hate, perfectly hate to be an adviser, and yet when a friend applies to you, it seems a mighty selfish way to turn upon your heel, and tell him he must judge for himself -- It seems to me dear Jane, not only the best but the only feasible plan for the present to go into lodgings -- Then you are perfectly free to make any subsequent arrangements. If you furnish a house, and afterwards find it desirable to go into lodgings, you have incurred an unnecessary expense, and must sacrifice a great deal in your furniture, in one way and another -- I do not beleive there is much difference in the expense of a family of five or six, at housekeeping, or in lodgings -- but there is the same routine, and nearly the same amount of expenses for a family of two, as of six; and the difference of expense at Lodgings is obvious -- It seems to be decisive that you can at any time change another’s house for your own if circumstances should render it expedient -- -- This was the plan my Brother Theodore adopted when he was first married and he has always thought that it was the very best -- So much for experience dear Jane -- -- -- You will be happy I am sure; for the characters that both you, and my dear Brother possess give you the ‘glorious privilege of being independent’ Sacrifices made for those we love, undergo a singular kind of transmutation, and become pleasures -- All this you know no doubt -- for I beleive every virtuous Creature feels every day the pleasure of disinterestedness. The pain of the effort is diminished just in proportion to our love for the object of it _____ I was rejoiced to hear of your Sister’s happiness. Do present to her my best love, and best wishes for herself, and the little Stranger -- -- I beg my dear Jane you will do me the favor not to show to anybody this letter -- Beleive me ever yours Sincerely --CMS",0.17866200466200466
CMS1800-12-30-toTheodoreSedgwickIF.xml,1800-12-30,Catharine Maria Sedgwick,TSI,"Politics (US),Elections,Holidays/Celebrations,Sedgwick Family Relations,Employees","jefferson-thomas,PDS,freeman-elizabeth", Stockbridge Dec 30 1800 My Dear Papa Last saturday we were again made happy by receiving letters from you I suppose that you have long before this you heard of the election of Mr Jefferson there was great rejoicings at Pittsfield ringing the bell for joy they broke it they sang a most infamous song in which they mentioned Jeffersons the dandy that Ephraim Williams out of date Bacon is the dandy and things much worse than this but this is foolish stuff for me to write The time will soon elapse when you will once more return home I hope you will never go again as long Mama sends her best love to you it gratifys her very much to receive letters from you Mumbet wishes to be remembered to you I hope My Dear Papa that you will write me often Your Dutiful Daughter Maria SedgwickMr Theodore Sedgwick ,0.32
CMS1812-05-31-toFrancesSedgwickWatsonF.xml,1812-05-31,Catharine Maria Sedgwick,FSW,"Sedgwick Family Relations,Childcare,Religion,Domestic Life and Duties,Shopping/Material Exchange,Authorship,Work,Clothing/Fashion,Social Life/Networks,Village/Rural Life,Self-reflection","RSI,RSW,EWI,james-unknown,unknown-sarah,PRS,mason-john,warner-thomas,warner-frances"," Stockbridge May 31st1812 My dear Frances, I feel the propriety of offering an apology to you for my apparent neglect. Robert has been going from time to time for more than a week past, & I have deferred writing on that account -- you shall not have to complain of me in future, for I feel the scribbling fever throbbing at my finger’s ends at this moment, and a fit of this kind you know does not leave me suddenly -- My dear Robert’s departure makes me feel again as if I was giving a parting look at Nyork. My little Bob is left & a sweet little momento he is -- I mean by a vigorous perseverance in a course of employment to charm away the recollection of you all & and how well I succeed you shall from time to time be informed In consequence of that reserve which I beleive is constitutional with me and which you my dear Sister have so often kindly rebuked, I didnot talk to you so freely on religious subjects as my heart sometimes prompted me to -- With some portion of that humility which becomes a creature conscious of the commission of sin from day to day, and the continued indul-gence of folly, I would say to you my dearest Sister that if I know the desires of my own soul, I have embraced that salvation which is procured by the blood of our Saviour and it is my most fervent prayer that I may be numbered among those who have been purchased, by this blessed atonement -- To my joining the Church here there are obstacles I am afraid insuperable -- I am certain that I could not advance claims which they would admit I have attended very particularly since my return to the preaching in our pulpit and it has beenis such as to repress every hope, I had encouraged that I might be admitted into the communion of the Church I wish that you and Mr Watson would point out to me what steps I had better take, for unsuccessful as they may prove, I cannot be satisfied to do nothing -- -- Add to your advice, your prayers my dear Sister and Brother, that I may not deceive myself with a false security I have written thus far amidst the tumult of Children, and twenty other interruptions -- -- -- The butter will be sent by Col James during this week -- -- I left the mustard pot in your cupboard -- do not forget to send -- I left in NY -- an india book muslin handkerchief -- with a double ruffle -- I think it must be in the drawer next the Secratary -- also a nightcap -- -- Didnot you intend sending the gingham like your gown for Robert -- His bombaset frocks are pronounced by all the family absolutely indecent, & I do not beleive that the two ginghams will be sufficient. The light calicoone will be of very little service -- Dont you mean that he shall wear shirts. If so please to send some cotton them, I cannot procure it here -- -- Do you intend he shall wear his flannel nightgown all summer -- It makes him perspire very much now -- -- -- I send a little ruff, which I intended to have finished for you before I left NY -- -- The handkerchiefs I have cut for Sarah -- Mrs Sedgwick wish you to buy a y'd and 1/2 of trimming like that I have put into one of Sarah’s collars -- . I bought it at Bacon’s; near Lott & Ray’s -- -- -- If Doctor Mason is kind enough to enquire after me, do present my most affectionate respects to him -- When Robert goes I shall have no one who I can talk with about at least with any sympathy -- Tell Mr Warner, that if he was to see our little village in its present gala dress, he would be tempted to make it a longer visit -- Remember me to all the Children -- and to your Husband -- & to Frances Tell Mama I am a good boy says Bob, and this assertion is entitled to my signature -- Do write to me my dear Sister Ever yours CM ",0.09887664640324219
CMS1813-02-19-toRobertSedgwickIF.xml,1813-02-19,Catharine Maria Sedgwick,RSI,"Sedgwick Family Relations,Sedgwick Family Residences,Religion,Death/Mourning,Self-reflection","SRS,TSI,payne-eloise,HDS"," Stockbridge Feb'y 19th 1813 Altho I am very much limited in time my dear Robert I cannot withhold from you an expression of my gratitude for your last letter -- -- My heart responds to yours on that subject which must for a long time fill our solitary moments with sad and elevated thoughts -- -- We have passed together through scenes fraught with instruction This sorrowful experience has endeared you to me inexpressibly I feel my dear Brother as if I had read a new page in the volume of your character, as if the vail that hides eternity had been withdrawn and our disembodied spirits had held holy communion together -- -- -- I trust that our affections will never again fasten upon the world as they have done, but that assisted by the grace of God we shall so firmly grasp the source of happiness as to obtain a triumph over the world, its trifles, & its follies -- -- -- -- I look forward with dread to the time for appointed for leaving home, and except for the hope of benefiting my dear Susan I could not make the sacrifice -- -- Our beloved Father seems still to exist in every object around me here, & there is a peace and quiet in this retirement that gives even to inanimate objects an expression of sympathy -- -- I am interrupted my dear Brother -- -- -- & obliged to conclude my letter -- -- Do thank Eloise for her most excellent letter -- My love to all the family -- Harry has not yet received your letter -- -- -- EverYours CMS -- ",0.18559059987631416
